obs,P1,P2,P3,P4,,,,,
28.5,28.523,28.203,28.513,28.228,28.471,0.32,0.01,0.295,0.052
28.8,28.954,28.607,28.937,28.582,28.909,0.347,0.017,0.372,0.045
28.9,29.266,28.957,29.229,28.911,29.209,0.309,0.037,0.355,0.057
29.3,29.564,29.292,29.458,29.235,29.49,0.272,0.106,0.329,0.074
29.4,29.861,29.633,29.723,29.572,29.776,0.228,0.138,0.289,0.085
29.8,30.051,29.84,29.878,29.78,29.944,0.211,0.173,0.271,0.107
29.5,30.142,29.988,29.918,29.942,30.026,0.154,0.224,0.2,0.116
29.2,29.972,29.84,29.695,29.842,29.851,0.132,0.277,0.13,0.121
29,29.729,29.612,29.63,29.679,29.629,0.117,0.099,0.05,0.1
28.5,29.503,29.368,29.482,29.514,29.394,0.135,0.021,-0.011,0.109
28.3,29.3,29.15,29.281,29.338,29.16,0.15,0.019,-0.038,0.14
28.1,29.105,28.955,29.082,29.152,28.95,0.15,0.023,-0.047,0.155